topic_id,cv_score,cnpmi_score,size,top_words,word_weights
10,0.31818113996047787,-0.23996007493054033,194,"motion, amendments, house, proceedings, bill, order, saturday, tomorrow, shall, speaker","0.0229, 0.0191, 0.0159, 0.0144, 0.0143, 0.0139, 0.0111, 0.0109, 0.0107, 0.0107"
11,0.6278257888662365,0.06845591449918932,186,"hospital, hospitals, nhs, capital, kettering, trust, investment, new, care, telford","0.0411, 0.0141, 0.0141, 0.0140, 0.0114, 0.0107, 0.0104, 0.0103, 0.0096, 0.0095"
12,0.41211755652608983,-0.04811372233294383,178,"police, crime, officers, policing, stoke, trent, 000, knife, 20, staffordshire","0.0429, 0.0239, 0.0233, 0.0134, 0.0082, 0.0080, 0.0079, 0.0068, 0.0060, 0.0059"
13,0.7063424798984251,0.05423121754770664,172,"fire, grenfell, cladding, buildings, building, firefighters, tower, tragedy, safety, inquiry","0.0359, 0.0218, 0.0197, 0.0128, 0.0126, 0.0126, 0.0120, 0.0096, 0.0093, 0.0091"
14,0.6173972495740487,0.05768671134784533,171,"domestic, abuse, violence, bill, victims, women, victim, perpetrators, definition, survivors","0.0342, 0.0311, 0.0132, 0.0122, 0.0118, 0.0082, 0.0068, 0.0067, 0.0064, 0.0059"
15,0.4923950888942412,-0.1956745189544009,157,"turkey, syria, daesh, kurdish, turkish, allies, kurds, nato, foreign, incursion","0.0380, 0.0235, 0.0157, 0.0134, 0.0133, 0.0129, 0.0128, 0.0126, 0.0113, 0.0085"
16,0.33262228578963654,-0.08293280029209782,155,"cook, thomas, company, insolvency, airline, employees, collapse, directors, airlines, passengers","0.0404, 0.0385, 0.0169, 0.0117, 0.0107, 0.0104, 0.0104, 0.0101, 0.0099, 0.0091"
17,0.6757959442648125,0.053571508863454395,150,"pension, credit, women, pensioners, age, pensions, older, 1950s, tv, waspi","0.0403, 0.0253, 0.0203, 0.0178, 0.0115, 0.0111, 0.0109, 0.0107, 0.0092, 0.0077"
18,0.6658027404925249,0.11108593316312292,149,"victims, northern, ireland, abuse, survivors, institutional, redress, legislation, compensation, hart","0.0292, 0.0127, 0.0127, 0.0126, 0.0121, 0.0114, 0.0095, 0.0091, 0.0088, 0.0084"
19,0.4848809470081079,-0.02894995824482432,141,"trafficking, slavery, victims, modern, essex, human, home, trafficked, investigation, immigration","0.0202, 0.0163, 0.0158, 0.0124, 0.0093, 0.0090, 0.0089, 0.0086, 0.0078, 0.0073"
20,0.25923288931876964,-0.16689020214841876,128,"armed, defence, forces, navy, nato, army, our, ships, royal, world","0.0227, 0.0193, 0.0178, 0.0123, 0.0097, 0.0088, 0.0087, 0.0081, 0.0079, 0.0070"
21,0.5244305823751507,-0.01317086773063504,112,"workers, rights, eu, union, protections, standards, uk, employment, trade, european","0.0490, 0.0413, 0.0150, 0.0107, 0.0097, 0.0094, 0.0090, 0.0090, 0.0081, 0.0079"
22,0.7024020522715801,0.09641903511718539,108,"christians, persecution, religion, religious, freedom, belief, bishop, christian, faith, persecuted","0.0403, 0.0304, 0.0219, 0.0204, 0.0203, 0.0177, 0.0167, 0.0162, 0.0136, 0.0132"
23,0.57432841143717,0.08270838287190427,106,"hong, kong, china, chinese, peaceful, tibet, protest, declaration, joint, rights","0.0609, 0.0605, 0.0279, 0.0253, 0.0125, 0.0119, 0.0113, 0.0110, 0.0109, 0.0097"
24,0.6524507571943623,0.09853585672833408,101,"plastic, waste, packaging, plastics, recycling, recycled, use, environment, we, products","0.0495, 0.0244, 0.0223, 0.0209, 0.0205, 0.0121, 0.0112, 0.0099, 0.0080, 0.0078"
25,0.4615479076872716,-0.057260473787545424,89,"eu, citizens, status, immigration, nationals, settled, uk, system, movement, home","0.0210, 0.0207, 0.0167, 0.0146, 0.0143, 0.0139, 0.0122, 0.0105, 0.0096, 0.0095"
26,0.6081815818621451,0.040397116493565796,89,"care, social, carers, adult, dementia, people, funding, older, system, we","0.0423, 0.0278, 0.0108, 0.0098, 0.0089, 0.0081, 0.0070, 0.0067, 0.0065, 0.0061"
27,0.8256249991549115,0.09643581693250707,88,"steel, orb, tata, industry, electric, plant, newport, british, industrial, electrical","0.0671, 0.0221, 0.0197, 0.0170, 0.0150, 0.0131, 0.0125, 0.0125, 0.0114, 0.0105"
28,0.5225406900077901,-0.048255184139711096,86,"staff, gemma, report, harassment, white, training, bullying, members, mps, complaints","0.0225, 0.0132, 0.0125, 0.0124, 0.0123, 0.0121, 0.0099, 0.0097, 0.0091, 0.0086"
29,0.322380054286493,-0.254063649515887,86,"give, gentleman, way, hon, will, song, cherokees, tempt, burst, intervene","0.2016, 0.1903, 0.1567, 0.0772, 0.0502, 0.0281, 0.0244, 0.0203, 0.0203, 0.0131"
30,0.38548699601442293,-0.1753205108177644,86,"abortion, ireland, northern, women, law, medical, abortions, assembly, executive, legal","0.0394, 0.0221, 0.0215, 0.0180, 0.0112, 0.0093, 0.0087, 0.0083, 0.0082, 0.0080"
31,0.5999557963705304,0.12116557498174949,85,"coverage, mobile, broadband, network, rural, operators, connectivity, notspots, ofcom, areas","0.0353, 0.0297, 0.0274, 0.0218, 0.0209, 0.0200, 0.0190, 0.0124, 0.0119, 0.0102"
32,0.6809023327028576,0.08680568826178023,84,"youth, young, services, people, work, workers, ncs, local, provision, blackpool","0.0656, 0.0315, 0.0134, 0.0122, 0.0097, 0.0089, 0.0081, 0.0078, 0.0074, 0.0070"
33,0.3377973404528998,-0.1954868437694807,84,"iran, international, jcpoa, nuclear, iranian, tanker, attacks, de, foreign, strait","0.0567, 0.0184, 0.0175, 0.0157, 0.0135, 0.0121, 0.0118, 0.0117, 0.0114, 0.0104"
34,0.5562855802481536,-0.04796144308387883,82,"aquaculture, fisheries, fishing, scottish, uk, industry, fish, sector, fishermen, catch","0.0311, 0.0298, 0.0272, 0.0125, 0.0122, 0.0121, 0.0118, 0.0104, 0.0091, 0.0086"
35,0.762699168636552,0.10174147273409935,81,"brazil, amazon, deforestation, rainforest, brazilian, fires, climate, bolsonaro, forest, global","0.0362, 0.0322, 0.0266, 0.0188, 0.0176, 0.0152, 0.0123, 0.0122, 0.0120, 0.0110"
36,0.3655931428829907,-0.1085005588995166,80,"trade, wto, tariffs, eu, tariff, free, rules, uk, ftas, states","0.0356, 0.0275, 0.0197, 0.0139, 0.0127, 0.0123, 0.0118, 0.0111, 0.0102, 0.0099"
37,0.4068706806247918,-0.06090025612668558,76,"drug, nice, rare, patients, pml, nhs, disease, maraviroc, treatment, sma","0.0222, 0.0221, 0.0181, 0.0171, 0.0168, 0.0158, 0.0145, 0.0141, 0.0139, 0.0125"
38,0.5501552364811872,-0.018458382583596958,75,"farmers, lamb, sheep, tariff, food, eu, lambs, deal, sheepmeat, export","0.0436, 0.0241, 0.0213, 0.0134, 0.0118, 0.0100, 0.0090, 0.0085, 0.0081, 0.0081"
39,0.7645454471052182,0.12104525964602637,75,"baby, loss, parents, maternity, bereaved, bereavement, babies, support, awareness, pregnancy","0.0290, 0.0231, 0.0159, 0.0133, 0.0117, 0.0113, 0.0109, 0.0105, 0.0100, 0.0097"
40,0.6537911953781439,0.12660086484376856,74,"hunting, trophy, animal, animals, lions, ban, species, conservation, trophies, welfare","0.0342, 0.0306, 0.0205, 0.0193, 0.0160, 0.0135, 0.0132, 0.0132, 0.0125, 0.0119"
41,0.2843461715785898,-0.16089615212951155,74,"language, threats, house, you, members, conduct, this, abuse, mr, speaker","0.0178, 0.0141, 0.0094, 0.0094, 0.0083, 0.0077, 0.0077, 0.0072, 0.0071, 0.0071"
42,0.6437312029542567,0.060427394290793766,73,"universal, credit, claimants, uc, payments, benefits, pilot, five, poverty, people","0.0477, 0.0434, 0.0185, 0.0130, 0.0122, 0.0116, 0.0109, 0.0096, 0.0090, 0.0084"
43,0.2996181177634415,-0.09364834264865657,71,"whisky, scotch, tariffs, states, united, malt, trade, whiskey, distilleries, industry","0.0580, 0.0381, 0.0272, 0.0173, 0.0148, 0.0133, 0.0113, 0.0112, 0.0112, 0.0109"
44,0.7650743436678589,0.08772230547711106,71,"football, uefa, players, racism, fans, racist, night, fa, game, abuse","0.0558, 0.0325, 0.0300, 0.0246, 0.0176, 0.0159, 0.0155, 0.0146, 0.0145, 0.0133"
45,0.44199145270788015,0.002730290503732422,70,"online, harms, verification, pornography, children, media, age, internet, agenda, content","0.0431, 0.0292, 0.0168, 0.0159, 0.0141, 0.0137, 0.0122, 0.0106, 0.0090, 0.0088"
46,0.3039528130770637,-0.13750422845746998,69,"deal, negotiations, no, prime, minister, he, house, not, avoid, position","0.0373, 0.0158, 0.0150, 0.0144, 0.0102, 0.0100, 0.0098, 0.0079, 0.0078, 0.0074"
47,0.4793342299598706,-0.07248223106266692,69,"water, chalk, streams, river, environment, rivers, abstraction, companies, agency, reservoir","0.0643, 0.0314, 0.0271, 0.0215, 0.0187, 0.0161, 0.0146, 0.0117, 0.0109, 0.0108"
48,0.38004451854927057,-0.06443038267950557,67,"answer, friend, hon, gentleman, question, my, refer, grateful, am, right","0.0453, 0.0401, 0.0398, 0.0302, 0.0290, 0.0288, 0.0249, 0.0237, 0.0223, 0.0222"
49,0.5691171407597306,0.041582381196145844,66,"children, missing, unregulated, care, exploitation, local, young, authorities, homes, placed","0.0400, 0.0198, 0.0172, 0.0156, 0.0130, 0.0124, 0.0120, 0.0117, 0.0114, 0.0114"
50,0.36675387512456786,-0.01590955224349837,64,"give, way, will, then, time, finish, once, progress, shall, one","0.2123, 0.1631, 0.0441, 0.0407, 0.0401, 0.0325, 0.0321, 0.0309, 0.0259, 0.0205"
51,0.7214573787968694,0.12316515529545535,62,"maintenance, cms, child, parent, parents, service, paying, pay, arrears, children","0.0337, 0.0283, 0.0228, 0.0210, 0.0181, 0.0132, 0.0127, 0.0114, 0.0112, 0.0109"
52,0.2842504058991142,-0.1583578895776571,62,"rose, she, her, chaplain, church, you, prayers, reverend, god, wilkin","0.0435, 0.0205, 0.0185, 0.0176, 0.0161, 0.0153, 0.0143, 0.0139, 0.0134, 0.0119"
53,0.491746182026027,-0.08870559389011912,61,"nazanin, iran, iranian, dual, ratcliffe, nationals, her, tehran, foreign, zaghari","0.0462, 0.0392, 0.0246, 0.0182, 0.0169, 0.0138, 0.0137, 0.0133, 0.0120, 0.0115"
54,0.7956680652373362,0.20956245464085288,59,"cattle, badgers, tb, badger, disease, farmers, culling, cull, vaccination, bovine","0.0388, 0.0363, 0.0316, 0.0294, 0.0230, 0.0203, 0.0186, 0.0180, 0.0136, 0.0134"
55,0.24179784797181497,-0.20345593181756833,59,"report, isc, security, reports, published, minister, intelligence, publication, unusual, prime","0.0292, 0.0201, 0.0164, 0.0127, 0.0124, 0.0117, 0.0112, 0.0110, 0.0106, 0.0106"
56,0.3480539698580063,-0.012708834026591545,58,"children, refugees, syria, resettlement, unaccompanied, orphans, ceasefire, minors, camps, vulnerable","0.0281, 0.0193, 0.0189, 0.0171, 0.0156, 0.0145, 0.0142, 0.0134, 0.0123, 0.0116"
57,0.5193230526374669,0.04412227461312109,57,"leasehold, leaseholders, freehold, lease, ground, redrow, commonhold, houses, rents, leases","0.0397, 0.0239, 0.0138, 0.0132, 0.0112, 0.0099, 0.0094, 0.0091, 0.0088, 0.0088"
58,0.40759338342199564,-0.24499040631531338,57,"yemen, saudi, humanitarian, arms, arabia, un, licences, ceasefire, conflict, appeal","0.0571, 0.0288, 0.0258, 0.0216, 0.0199, 0.0189, 0.0152, 0.0143, 0.0134, 0.0108"
59,0.29846553270568477,-0.18950628021893978,56,"give, way, gentleman, right, hon, learned, will, lady, beseech, the","0.2914, 0.2201, 0.1980, 0.1448, 0.0950, 0.0728, 0.0702, 0.0588, 0.0217, 0.0112"
60,0.6507210899086378,0.02669314872435532,55,"endometriosis, women, condition, workplace, pain, diagnosis, employers, she, had, health","0.0485, 0.0257, 0.0184, 0.0165, 0.0162, 0.0114, 0.0107, 0.0102, 0.0101, 0.0090"
61,0.24368031107365087,-0.2577447743800575,54,"give, way, minister, will, marriages, plonk, encomium, thankfulness, debated, don","0.1789, 0.1383, 0.1050, 0.0490, 0.0249, 0.0187, 0.0187, 0.0187, 0.0184, 0.0184"
62,0.5083053105372604,0.055938782448077075,54,"diabetes, type, diabetic, obesity, prevention, strangford, management, sugar, weight, messaging","0.0731, 0.0308, 0.0117, 0.0116, 0.0112, 0.0088, 0.0085, 0.0085, 0.0085, 0.0083"
63,0.41383082326984166,-0.08835388504242069,53,"economic, economy, brexit, chancellor, assessment, impact, analysis, trade, deal, billion","0.0205, 0.0198, 0.0139, 0.0138, 0.0135, 0.0126, 0.0119, 0.0110, 0.0101, 0.0099"
64,0.5432252782929762,0.01889052092398137,53,"music, education, curriculum, arts, schools, school, musical, ebacc, hubs, bury","0.0971, 0.0225, 0.0177, 0.0149, 0.0144, 0.0121, 0.0111, 0.0109, 0.0100, 0.0096"
65,0.31824574416102025,-0.2675397001383942,53,"lady, give, way, hon, will, sealed, accent, endorsement, allegation, untrue","0.2460, 0.2199, 0.1661, 0.0812, 0.0587, 0.0183, 0.0179, 0.0163, 0.0160, 0.0153"
66,0.264750753187653,-0.13021120736389571,53,"order, speaker, mr, point, on, further, of, retraction, barracked, sir","0.2920, 0.2140, 0.2035, 0.1968, 0.0470, 0.0253, 0.0226, 0.0207, 0.0207, 0.0204"
67,0.4539540137734768,0.017446436313616465,53,"saudi, arabia, rights, human, women, prince, salman, al, detention, in","0.0578, 0.0441, 0.0155, 0.0129, 0.0101, 0.0084, 0.0082, 0.0082, 0.0075, 0.0070"
68,0.45952337805026416,-0.12299928178182537,53,"spanish, spain, catalonia, catalan, courts, independence, constitution, matter, law, legal","0.0600, 0.0499, 0.0364, 0.0167, 0.0166, 0.0148, 0.0115, 0.0114, 0.0109, 0.0108"
69,0.40150896267206865,-0.10088603962178636,52,"kashmir, indian, dispute, pakistan, india, petition, human, kashmiri, rights, international","0.0933, 0.0345, 0.0243, 0.0228, 0.0208, 0.0195, 0.0186, 0.0173, 0.0166, 0.0148"
70,0.37876368143209754,-0.10888659829772561,52,"judges, judiciary, judicial, court, appointments, supreme, political, lord, independence, diversity","0.0377, 0.0294, 0.0265, 0.0219, 0.0217, 0.0146, 0.0144, 0.0140, 0.0132, 0.0098"
71,0.5409278272193272,0.04612187872829083,51,"children, citizenship, status, scheme, care, leavers, looked, settled, nationality, immigration","0.0377, 0.0214, 0.0182, 0.0142, 0.0141, 0.0140, 0.0134, 0.0125, 0.0112, 0.0101"
72,0.710737038853419,0.05107174909503172,51,"retail, shop, crime, shops, shoplifting, police, violence, theft, staff, usdaw","0.0338, 0.0331, 0.0300, 0.0176, 0.0141, 0.0122, 0.0115, 0.0115, 0.0108, 0.0090"
73,0.6673505581518451,0.07789287583982034,50,"women, prison, female, offenders, sentences, custody, custodial, justice, strategy, reoffending","0.0518, 0.0350, 0.0223, 0.0217, 0.0180, 0.0151, 0.0124, 0.0118, 0.0111, 0.0101"
74,0.36880483716277,-0.1516482468177364,50,"december, thursday, election, polling, 12, elections, monday, students, vote, stations","0.0268, 0.0265, 0.0247, 0.0189, 0.0154, 0.0145, 0.0137, 0.0132, 0.0130, 0.0106"
75,0.6271904813820612,0.03205922715083432,49,"pharmacies, pharmacy, community, pharmacists, prescriptions, pharmacist, patients, halifax, service, prescription","0.0561, 0.0377, 0.0303, 0.0180, 0.0122, 0.0122, 0.0105, 0.0087, 0.0086, 0.0082"
76,0.5362693376216602,0.056765267549407056,48,"radiotherapy, cancer, treatment, survival, patients, lung, diagnosis, machines, nhs, treatments","0.0753, 0.0601, 0.0223, 0.0139, 0.0129, 0.0121, 0.0113, 0.0112, 0.0104, 0.0090"
77,0.5430204502840382,0.06296531873954388,47,"internet, data, technology, things, iot, devices, security, cyber, regulation, of","0.0293, 0.0208, 0.0147, 0.0144, 0.0137, 0.0128, 0.0099, 0.0087, 0.0070, 0.0067"
78,0.6540993146513151,0.11045916320209387,46,"special, educational, needs, children, schools, send, education, school, suffolk, funding","0.0329, 0.0320, 0.0293, 0.0247, 0.0197, 0.0190, 0.0174, 0.0172, 0.0139, 0.0117"
79,0.6438225275371035,0.0648814456287638,45,"poverty, child, children, scotland, food, scottish, universal, chryston, bellshill, in","0.0627, 0.0359, 0.0190, 0.0154, 0.0121, 0.0084, 0.0080, 0.0076, 0.0076, 0.0076"
80,0.3104080830997968,-0.07162486659847239,42,"give, way, friend, my, hon, right, will, learned, point, serious","0.3023, 0.2284, 0.1698, 0.1045, 0.0986, 0.0859, 0.0741, 0.0671, 0.0177, 0.0101"
81,0.5840242871839046,0.09211327846000658,42,"prison, officers, prisons, staff, age, officer, assaults, pension, retirement, 68","0.0812, 0.0511, 0.0277, 0.0219, 0.0205, 0.0168, 0.0139, 0.0136, 0.0116, 0.0104"
82,0.8731912722434608,0.22198024186916687,41,"park, site, residents, owners, homes, home, caravan, christchurch, licence, sites","0.0478, 0.0280, 0.0211, 0.0197, 0.0184, 0.0154, 0.0135, 0.0134, 0.0127, 0.0126"
83,0.40186121298037936,-0.0110240355045166,41,"smoking, cigarettes, vaping, tobacco, smoke, products, health, cigarette, cessation, smokers","0.0572, 0.0492, 0.0364, 0.0269, 0.0190, 0.0159, 0.0147, 0.0139, 0.0133, 0.0128"
84,0.53298677361898,0.021204011756760895,39,"trade, nhs, deals, agreements, privatisation, services, private, table, free, isds","0.0370, 0.0355, 0.0159, 0.0154, 0.0129, 0.0110, 0.0103, 0.0085, 0.0084, 0.0083"
85,0.6833508824821088,0.07473428288392994,39,"air, pollution, quality, clean, london, nitrogen, dioxide, particulate, cars, tackle","0.0695, 0.0385, 0.0303, 0.0191, 0.0183, 0.0145, 0.0125, 0.0124, 0.0117, 0.0092"
86,0.701095200912503,0.09990100141909136,38,"nurses, nursing, workforce, nurse, nhs, staff, care, training, staffing, health","0.0321, 0.0282, 0.0275, 0.0203, 0.0194, 0.0188, 0.0150, 0.0129, 0.0118, 0.0116"
87,0.4416851374844678,-0.01848329098524045,37,"eu, plant, sis, exit, instrument, regulations, pesticides, si, errors, agricultural","0.0258, 0.0215, 0.0206, 0.0196, 0.0194, 0.0179, 0.0145, 0.0129, 0.0105, 0.0102"
88,0.5345469681406522,-0.043036891838114086,37,"scottish, scotland, funds, funding, money, structural, eu, uk, fund, devolution","0.0283, 0.0243, 0.0146, 0.0143, 0.0134, 0.0131, 0.0123, 0.0118, 0.0117, 0.0117"
89,0.39835264629031536,-0.1281481741555102,37,"debt, chancellor, deficit, economy, spending, fiscal, labour, billion, growth, tax","0.0161, 0.0148, 0.0132, 0.0128, 0.0125, 0.0113, 0.0102, 0.0099, 0.0098, 0.0097"
90,0.3151348977833561,-0.24409455777777944,37,"yes, absolutely, no, okay, brief, possibly, entirely, moment, little, risk","1.2296, 0.1727, 0.1645, 0.0893, 0.0716, 0.0660, 0.0563, 0.0482, 0.0476, 0.0458"
91,0.46060284515711325,-0.04088807906840256,36,"hull, project, eden, city, morecambe, maritime, heritage, tourism, visitors, north","0.0387, 0.0374, 0.0293, 0.0255, 0.0255, 0.0230, 0.0221, 0.0169, 0.0125, 0.0112"
92,0.3000385114135893,-0.06695381189049733,36,"assent, indicated, nod, proposition, take, way, because, his, as, that","2.1522, 1.9328, 0.0879, 0.0718, 0.0221, 0.0197, 0.0167, 0.0161, 0.0075, 0.0045"
93,0.6427642352187576,0.05432367455435499,36,"fund, funding, prosperity, regions, shared, funds, wales, uk, regional, structural","0.0305, 0.0239, 0.0231, 0.0208, 0.0191, 0.0182, 0.0180, 0.0107, 0.0106, 0.0103"
94,0.4900322376356629,-0.037482050975120716,35,"leaving, effect, discussions, eu, recent, assessment, uk, without, what, made","0.0844, 0.0791, 0.0790, 0.0737, 0.0733, 0.0663, 0.0599, 0.0548, 0.0439, 0.0372"
95,0.3970133456171314,-0.1247456259659607,34,"deal, bill, no, eu, amendment, brexit, this, referendum, would, vote","0.0173, 0.0160, 0.0119, 0.0105, 0.0092, 0.0082, 0.0081, 0.0068, 0.0068, 0.0066"
96,0.6802916066003282,0.048962514024043245,34,"visitors, health, visitor, visiting, early, children, child, shoreham, worthing, important","0.0582, 0.0492, 0.0217, 0.0127, 0.0115, 0.0108, 0.0102, 0.0087, 0.0081, 0.0076"
97,0.4484551804341319,-0.044689308116945714,34,"medicines, supply, medicine, shortages, drugs, hrt, brexit, event, deal, constituent","0.0494, 0.0264, 0.0243, 0.0218, 0.0144, 0.0132, 0.0116, 0.0115, 0.0114, 0.0113"
98,0.8060336359982194,0.0935861523719959,33,"uniform, school, uniforms, parents, cost, schools, items, children, families, guidance","0.0698, 0.0535, 0.0287, 0.0192, 0.0184, 0.0165, 0.0135, 0.0127, 0.0118, 0.0115"
99,0.5495800011744922,-0.03269407708129094,33,"post, cash, barclays, banks, access, office, offices, banking, atms, bank","0.0437, 0.0432, 0.0230, 0.0207, 0.0207, 0.0206, 0.0194, 0.0188, 0.0178, 0.0172"
100,0.5811337570738092,0.04935419871198168,33,"image, body, eating, mental, disorders, cosmetic, people, young, health, adverts","0.0385, 0.0338, 0.0199, 0.0152, 0.0151, 0.0146, 0.0120, 0.0119, 0.0118, 0.0088"
101,0.6931631083085092,0.09280124351213874,32,"ai, data, patients, artificial, heart, nhs, intelligence, healthcare, technology, circulatory","0.0489, 0.0301, 0.0185, 0.0176, 0.0146, 0.0141, 0.0139, 0.0129, 0.0128, 0.0115"
102,0.41954163770134373,-0.2141924670747688,32,"immunity, family, croughton, foreign, sacoolas, harry, diplomatic, dunn, police, mrs","0.0315, 0.0211, 0.0209, 0.0196, 0.0180, 0.0174, 0.0157, 0.0130, 0.0118, 0.0112"
103,0.45862174175864584,-0.03910909555667416,31,"prison, prisons, prisoners, private, offenders, sentences, governor, reoffending, hmp, rehabilitation","0.0389, 0.0335, 0.0200, 0.0133, 0.0117, 0.0101, 0.0097, 0.0097, 0.0086, 0.0084"
104,0.34741168816361095,-0.08670916778037313,31,"ask, statement, secretary, make, state, if, commonwealth, on, he, affairs","0.0967, 0.0878, 0.0513, 0.0500, 0.0477, 0.0349, 0.0220, 0.0196, 0.0194, 0.0184"
105,0.3100667644644026,-0.24559307311444376,31,"intervention, finish, take, interventions, okay, sit, finished, am, conclude, else","0.0992, 0.0762, 0.0715, 0.0523, 0.0467, 0.0466, 0.0449, 0.0438, 0.0367, 0.0296"
106,0.5418013197985392,0.0022261583207717323,30,"huawei, telecoms, security, 5g, network, equipment, chain, suppliers, supply, review","0.0479, 0.0359, 0.0309, 0.0235, 0.0146, 0.0132, 0.0129, 0.0121, 0.0117, 0.0115"
107,0.30925000927389795,-0.15879514278308024,30,"extension, house, bill, motion, withdrawal, leader, agreement, second, that, any","0.0189, 0.0152, 0.0148, 0.0144, 0.0115, 0.0110, 0.0104, 0.0084, 0.0075, 0.0074"
108,0.6762718969496375,0.07320262861097714,30,"gujarati, community, gujaratis, gujarat, contribution, harrow, india, they, hindu, uganda","0.0597, 0.0362, 0.0305, 0.0231, 0.0187, 0.0153, 0.0137, 0.0102, 0.0096, 0.0091"
109,0.6872576827142329,0.07973303924084768,30,"festival, festivals, artists, edinburgh, visas, visa, creative, performers, musicians, uk","0.0413, 0.0338, 0.0334, 0.0272, 0.0257, 0.0244, 0.0199, 0.0162, 0.0143, 0.0114"
110,0.3221935219994314,-0.2658400895515822,30,"sanctions, foreign, policy, financial, committee, united, kingdom, magnitsky, corruption, markets","0.0601, 0.0143, 0.0114, 0.0110, 0.0098, 0.0094, 0.0087, 0.0083, 0.0083, 0.0081"
111,0.6737122104687729,0.17036138778033147,29,"mesh, hernia, pain, surgery, complications, patients, men, repair, operation, inguinal","0.0576, 0.0488, 0.0303, 0.0271, 0.0203, 0.0193, 0.0177, 0.0157, 0.0141, 0.0133"
112,0.4997991473090757,0.057756463369964844,29,"loan, charge, retrospective, review, hmrc, suspend, duration, tax, taxation, policy","0.0863, 0.0799, 0.0374, 0.0366, 0.0361, 0.0275, 0.0191, 0.0157, 0.0141, 0.0134"
113,0.4638825384389359,0.05138533762876112,29,"drug, alcohol, drugs, consumption, glasgow, deaths, related, misuse, scotland, 187","0.0578, 0.0342, 0.0254, 0.0252, 0.0195, 0.0187, 0.0184, 0.0181, 0.0177, 0.0174"
114,0.39241427814725727,-0.14209583717000146,28,"disability, dfid, disabilities, inclusion, development, disabled, committee, neglected, work, inclusive","0.0540, 0.0320, 0.0290, 0.0225, 0.0135, 0.0129, 0.0127, 0.0102, 0.0102, 0.0098"
115,0.5541246115779297,-0.008041311789193343,27,"liverpool, council, city, towns, local, funding, bolton, tax, services, town","0.0556, 0.0305, 0.0297, 0.0202, 0.0136, 0.0112, 0.0110, 0.0110, 0.0107, 0.0087"
116,0.4113899171100612,-0.10905172777125342,27,"gambling, northern, ireland, betting, addiction, online, problem, report, fobts, legislation","0.0888, 0.0300, 0.0296, 0.0226, 0.0158, 0.0136, 0.0119, 0.0109, 0.0107, 0.0105"
117,0.6237244156862071,0.07171052014082731,26,"lgbt, relationships, sex, schools, gay, teaching, young, education, taught, shrewsbury","0.0273, 0.0206, 0.0200, 0.0194, 0.0191, 0.0174, 0.0174, 0.0162, 0.0103, 0.0103"
118,0.29586248713379015,-0.2143885251996997,26,"prorogation, prorogue, court, attorney, supreme, parliament, advice, general, was, government","0.0260, 0.0204, 0.0197, 0.0182, 0.0164, 0.0130, 0.0124, 0.0112, 0.0110, 0.0110"
